iter	Passed	Remaining
0	66	43488
1	137	45236
2	212	46475
3	289	47396
4	368	48182
5	447	48714
6	563	52494
7	661	53857
8	770	55624
9	885	57488
10	973	57375
11	1069	57670
12	1159	57642
13	1256	57876
14	1341	57588
15	1431	57545
16	1524	57589
17	1627	57954
18	1715	57794
19	1807	57753
20	1892	57482
21	1977	57256
22	2060	56970
23	2151	56919
24	2243	56895
25	2334	56835
26	2419	56627
27	2508	56533
28	2593	56346
29	2677	56137
30	2772	56172
31	2908	56982
32	2997	56867
33	3087	56757
34	3179	56692
35	3269	56575
36	3360	56501
37	3447	56345
38	3535	56205
39	3625	56101
40	3712	55960
41	3796	55769
42	3884	55649
43	3969	55481
44	4056	55354
45	4144	55230
46	4230	55087
47	4317	54963
48	4404	54836
49	4489	54679
50	4576	54556
51	4663	54435
52	4748	54293
53	4835	54173
54	4999	54900
55	5083	54735
56	5168	54590
57	5251	54419
58	5334	54248
59	5422	54132
60	5506	53978
61	5594	53866
62	5679	53725
63	5768	53624
64	5858	53534
65	5943	53400
66	6032	53305
67	6114	53145
68	6198	53004
69	6282	52861
70	6364	52710
71	6453	52611
72	6541	52507
73	6625	52379
74	6711	52260
75	6796	52138
76	6890	52083
77	6974	51954
78	7070	51909
79	7155	51789
80	7243	51689
81	7337	51628
82	7427	51544
83	7516	51454
84	7606	51363
85	7695	51270
86	7782	51167
87	7879	51124
88	7967	51027
89	8056	50934
90	8147	50854
91	8239	50778
92	8326	50673
93	8417	50594
94	8505	50493
95	8589	50375
96	8679	50286
97	8773	50221
98	8862	50129
99	8954	50057
100	9041	49953
101	9128	49846
102	9218	49763
103	9306	49662
104	9394	49567
105	9489	49504
106	9574	49392
107	9663	49299
108	9750	49200
109	9840	49114
110	9932	49034
111	10024	48957
112	10109	48847
113	10197	48752
114	10284	48652
115	10369	48541
116	10457	48443
117	10548	48360
118	10633	48254
119	10719	48150
120	10810	48064
121	10895	47956
122	10994	47910
123	11101	47898
124	11189	47801
125	11279	47713
126	11366	47615
127	11459	47540
128	11548	47445
129	11636	47352
130	11728	47270
131	11818	47183
132	11905	47083
133	11993	46989
134	12091	46934
135	12174	46819
136	12262	46721
137	12348	46619
138	12440	46541
139	12532	46460
140	12630	46400
141	12719	46311
142	12812	46231
143	12901	46140
144	13077	46357
145	13170	46275
146	13257	46177
147	13343	46071
148	13428	45963
149	13514	45859
150	13604	45767
151	13707	45723
152	13794	45620
153	13878	45509
154	13970	45427
155	14061	45340
156	14144	45226
157	14232	45130
158	14320	45031
159	14413	44952
160	14503	44862
161	14589	44758
162	14677	44663
163	14767	44573
164	14856	44479
165	14945	44385
